Номер	Год	Цена	Топливо	Объем	Мощность	Коробка	Привод	Цвет	Пробег	Руль	Поколение
97	2021	3299000	бензин	2.5	171	вариатор	4WD	синий	2242	левый	3 поколение, рестайлинг
98	2010	1068000	бензин	2.0	141	вариатор	4WD	серый	186000	левый	2 поколение
99	2011	1110000	бензин	2.0	141	вариатор	4WD	серебристый	120000	левый	2 поколение
100	2013	1450000	бензин	2.5	169	вариатор	4WD	бордовый	150000	левый	2 поколение, рестайлинг
101	2015	1520000	бензин	2.0	147	вариатор	4WD	красный	158000	правый	3 поколение
102	2010	970000	бензин	2.5	169	вариатор	4WD	серебристый	200000	левый	2 поколение
103	2010	970000	бензин	2.5	169	вариатор	4WD	черный	179000	левый	2 поколение
104	2011	1090000	бензин	2.5	169	вариатор	4WD	фиолетовый	165000	левый	2 поколение, рестайлинг
105	2019	1699000	бензин	2.0	147	вариатор	4WD	серебристый	94600	правый	3 поколение, рестайлинг
106	2008	1029000	бензин	2.0	141	вариатор	4WD	серый	220000	левый	2 поколение
107	2001	490000	бензин	2.0	150	АКПП	4WD	серый	266000	правый	1 поколение
108	2018	2060000	бензин	2.0	147	вариатор	4WD	белый	41000	правый	3 поколение, рестайлинг
109	2012	1200000	бензин	2.5	169	вариатор	4WD	синий	169000	левый	2 поколение, рестайлинг
110	2011	1100000	бензин	2.0	141	вариатор	4WD	серебристый	220000	левый	2 поколение, рестайлинг
111	2010	1160000	бензин	2.5	169	вариатор	4WD	серебристый	90000	левый	2 поколение
112	2010	1030000	бензин	2.5	169	вариатор	4WD	черный	179000	левый	2 поколение
113	2000	375000	бензин	2.0	150	АКПП	4WD	зеленый	360000	правый	1 поколение
114	2017	1950000	бензин	2.0	147	вариатор	4WD	белый	87000	правый	3 поколение, рестайлинг
115	2008	830000	бензин	2.5	169	вариатор	4WD	черный	250000	левый	2 поколение
116	2001	550000	бензин	2.0	150	АКПП	передний	белый	245000	правый	1 поколение
117	2003	670000	бензин	2.0	140	АКПП	4WD	голубой	230000	левый	1 поколение, рестайлинг
118	2012	1150000	бензин	2.0	141	вариатор	4WD	фиолетовый	200000	левый	2 поколение, рестайлинг
119	2007	880000	бензин	2.5	169	вариатор	4WD	черный	232000	левый	2 поколение
120	2022	3331000	бензин	2.0	144	вариатор	4WD	черный	левый	3 поколение, рестайлинг	
121	2016	1570000	бензин	2.0	147	вариатор	4WD	серебристый	144000	правый	3 поколение
122	2007	760000	бензин	2.0	150	АКПП	4WD	черный	179100	правый	1 поколение, рестайлинг
123	2008	900000	бензин	2.5	169	вариатор	4WD	серебристый	240000	левый	2 поколение
124	2007	800000	бензин	2.5	169	вариатор	4WD	серый	225000	левый	2 поколение
125	2001	495000	бензин	2.0	150	АКПП	4WD	серый	298000	правый	1 поколение
126	2010	1030000	бензин	2.5	169	вариатор	4WD	189000	левый	2 поколение	
127	2001	600000	бензин	2.0	150	АКПП	4WD	белый	202959	правый	1 поколение
128	2012	1188000	бензин	2.0	141	вариатор	4WD	черный	140000	левый	2 поколение, рестайлинг
129	2010	1030000	бензин	2.0	141	вариатор	4WD	серый	152000	левый	2 поколение
130	2015	1350000	бензин	2.0	147	вариатор	4WD	белый	119900	правый	3 поколение
131	2017	1950000	бензин	2.5	171	вариатор	4WD	белый	94000	левый	3 поколение
132	2005	715000	бензин	2.5	165	АКПП	4WD	серый	212000	левый	1 поколение, рестайлинг
133	2012	1230000	бензин	2.0	141	вариатор	4WD	белый	165000	левый	2 поколение, рестайлинг
134	2005	690000	дизель	2.2	136	механика	4WD	серебристый	165297	левый	1 поколение, рестайлинг
135	2006	550000	бензин	2.5	165	АКПП	4WD	серый	195000	левый	1 поколение, рестайлинг
136	2008	940000	бензин	2.5	169	вариатор	4WD	черный	200182	левый	2 поколение
137	2011	1150000	дизель	2.0	150	механика	4WD	серый	231111	левый	2 поколение, рестайлинг
138	2008	820000	бензин	2.5	169	вариатор	4WD	серый	210000	левый	2 поколение
139	2014	1615000	бензин	2.0	147	вариатор	4WD	белый	123000	правый	3 поколение
140	2005	650000	бензин	2.5	165	АКПП	4WD	синий	168000	левый	1 поколение, рестайлинг
141	2006	680000	бензин	2.0	140	АКПП	4WD	серый	352447	левый	1 поколение, рестайлинг
142	2011	1077000	бензин	2.5	169	вариатор	4WD	серый	164000	левый	2 поколение
143	2017	1400000	бензин	2.0	144	вариатор	4WD	черный	200000	левый	3 поколение
144	2001	365000	бензин	2.0	150	механика	4WD	серый	280000	правый	1 поколение
145	2017	1850000	бензин	2.5	171	вариатор	4WD	зеленый	118500	левый	3 поколение
146	2010	980000	дизель	2.0	150	АКПП	4WD	фиолетовый	330503	левый	2 поколение
147	2018	1890000	бензин	2.0	147	вариатор	4WD	черный	81000	правый	3 поколение, рестайлинг
